Name	IUPAC	SMILES
CFG-27-Sp0	Gal3OS(β1-4)Glc6OS(β-Sp0	OC[C@@H](O1)[C@H](O)[C@H](OS(=O)(=O)O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)COS(=O)(=O)O)[C@H](O)[C@@H](O)[C@@H]1-OCCN-C(=O)CCCOC
CFG-27-Sp8	Gal3OS(β1-4)Glc6OS(β-Sp8	OC[C@@H](O1)[C@H](O)[C@H](OS(=O)(=O)O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)COS(=O)(=O)O)[C@H](O)[C@@H](O)[C@@H]1-OCCCN-C(=O)CCCOC
CFG-29-Sp8	Gal3OS(β1-3)[Fuc(α1-4)]GlcNAc(β-Sp8	OC[C@@H](O1)[C@H](O)[C@H](OS(=O)(=O)O)[C@@H](O)[C@@H]1-O-[C@@H]([C@H](-O-[C@H]2[C@@H](O)[C@H](O)[C@H](O)[C@@H](O2)C)[C@H](O1)CO)[C@@H](NC(=O)C)[C@@H]1-OCCCN-C(=O)CCCOC
CFG-30-Sp8	Gal3OS(β1-3)GalNAc(α-Sp8	OC[C@@H](O1)[C@H](O)[C@H](OS(=O)(=O)O)[C@@H](O)[C@@H]1-O-[C@@H]([C@@H](O)[C@H](O1)CO)[C@@H](NC(=O)C)[C@H]1-OCCCN-C(=O)CCCOC
CFG-31-Sp0	Gal3OS(β1-3)GlcNAc(β-Sp0	OC[C@@H](O1)[C@H](O)[C@H](OS(=O)(=O)O)[C@@H](O)[C@@H]1-O-[C@@H]([C@H](O)[C@H](O1)CO)[C@@H](NC(=O)C)[C@@H]1-OCCN-C(=O)CCCOC
CFG-31-Sp8	Gal3OS(β1-3)GlcNAc(β-Sp8	OC[C@@H](O1)[C@H](O)[C@H](OS(=O)(=O)O)[C@@H](O)[C@@H]1-O-[C@@H]([C@H](O)[C@H](O1)CO)[C@@H](NC(=O)C)[C@@H]1-OCCCN-C(=O)CCCOC
CFG-32-Sp0	Gal3OS(β1-4)[Fuc(α1-3)]GlcNAc(-Sp0	OC[C@@H](O1)[C@H](O)[C@H](OS(=O)(=O)O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](-O-[C@H]2[C@@H](O)[C@H](O)[C@H](O)[C@@H](O2)C)[C@@H](NC(=O)C)C1-OCCN-C(=O)CCCOC
CFG-32-Sp8	Gal3OS(β1-4)[Fuc(α1-3)]GlcNAc(-Sp8	OC[C@@H](O1)[C@H](O)[C@H](OS(=O)(=O)O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](-O-[C@H]2[C@@H](O)[C@H](O)[C@H](O)[C@@H](O2)C)[C@@H](NC(=O)C)C1-OCCCN-C(=O)CCCOC
CFG-33-Sp0	Gal3OS(β1-4)GlcNAc6OS(β-Sp0	OC[C@@H](O1)[C@H](O)[C@H](OS(=O)(=O)O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)COS(=O)(=O)O)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-OCCN-C(=O)CCCOC
CFG-33-Sp8	Gal3OS(β1-4)GlcNAc6OS(β-Sp8	OC[C@@H](O1)[C@H](O)[C@H](OS(=O)(=O)O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)COS(=O)(=O)O)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-OCCCN-C(=O)CCCOC
CFG-34-Sp0	Gal3OS(β1-4)GlcNAc(β-Sp0	OC[C@@H](O1)[C@H](O)[C@H](OS(=O)(=O)O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-OCCN-C(=O)CCCOC
