Name	IUPAC
CFG-60-Sp0	Fuc(α1-2)Gal(β1-3)GlcNAc(β-Sp0
CFG-60-Sp8	Fuc(α1-2)Gal(β1-3)GlcNAc(β-Sp8
CFG-61-Sp0	Fuc(α1-2)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp0
CFG-62-Sp0	Fuc(α1-2)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp0
CFG-64-Sp0	Fuc(α1-2)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp0
CFG-64-Sp8	Fuc(α1-2)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp8
CFG-65-Sp0	Fuc(α1-2)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β-Sp0
CFG-66-Sp0	Fuc(α1-2)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β-Sp0
CFG-67-Sp0	Fuc(α1-2)Gal(β1-4)GlcNAc(β-Sp0
CFG-67-Sp8	Fuc(α1-2)Gal(β1-4)GlcNAc(β-Sp8
CFG-68-Sp0	Fuc(α1-2)Gal(β1-4)Glc(β-Sp0
CFG-69-Sp8	Fuc(α1-2)Gal(β-Sp8
CFG-70-Sp8	Fuc(α1-3)GlcNAc(β-Sp8
CFG-72-Sp8	Fuc(α1-4)GlcNAc(β-Sp8
CFG-73-Sp8	Fuc(β1-3)GlcNAc(β-Sp8
CFG-74-Sp0	GalNAc(α1-3)[Fuc(α1-2)]Gal(β1-3)GlcNAc(β-Sp0
CFG-75-Sp0	GalNAc(α1-3)[Fuc(α1-2)]Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp0
CFG-76-Sp0	Gal3OS(β1-4)[Fuc(α1-3)]Glc(β-Sp0
CFG-77-Sp0	GalNAc(α1-3)[Fuc(α1-2)]Gal(β1-4)GlcNAc(β-Sp0
CFG-77-Sp8	GalNAc(α1-3)[Fuc(α1-2)]Gal(β1-4)GlcNAc(β-Sp8
CFG-78-Sp0	GalNAc(α1-3)[Fuc(α1-2)]Gal(β1-4)Glc(β-Sp0
CFG-79-Sp8	GlcNAc(β1-3)Gal(β1-3)GalNAc(α-Sp8
CFG-80-Sp8	GalNAc(α1-3)[Fuc(α1-2)]Gal(β-Sp8
CFG-80-Sp18	GalNAc(α1-3)[Fuc(α1-2)]Gal(β-Sp18
CFG-81-Sp8	GalNAc(α1-3)GalNAc(β-Sp8
CFG-82-Sp8	GalNAc(α1-3)Gal(β-Sp8
CFG-84-Sp8	GalNAc(α1-4)[Fuc(α1-2)]Gal(β1-4)GlcNAc(β-Sp8
CFG-85-Sp8	GalNAc(β1-3)GalNAc(α-Sp8
CFG-86-Sp8	GalNAc(β1-3)[Fuc(α1-2)]Gal(β-Sp8
CFG-87-Sp0	GalNAc(β1-3)Gal(α1-4)Gal(β1-4)GlcNAc(β-Sp0
CFG-90-Sp0	GalNAc(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp0
CFG-92-Sp0	GalNAc(β1-4)GlcNAc(β-Sp0
CFG-92-Sp8	GalNAc(β1-4)GlcNAc(β-Sp8
CFG-93-Sp8	Gal(α1-2)Gal(β-Sp8
CFG-94-Sp0	Gal(α1-3)[Fuc(α1-2)]Gal(β1-3)GlcNAc(β-Sp0
CFG-94-Sp8	Gal(α1-3)[Fuc(α1-2)]Gal(β1-3)GlcNAc(β-Sp8
CFG-95-Sp0	Gal(α1-3)[Fuc(α1-2)]Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp0
CFG-95-Sp8	Gal(α1-3)[Fuc(α1-2)]Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp8
CFG-96-Sp0	Gal(α1-3)[Fuc(α1-2)]Gal(β1-4)GlcNAc(-Sp0
CFG-97-Sp0	Gal(α1-3)[Fuc(α1-2)]Gal(β1-4)Glc(β-Sp0
CFG-98-Sp8	Gal(α1-3)[Fuc(α1-2)]Gal(β-Sp8
CFG-98-Sp18	Gal(α1-3)[Fuc(α1-2)]Gal(β-Sp18
CFG-99-Sp8	Gal(α1-4)[Gal(α1-3)]Gal(β1-4)GlcNAc(β-Sp8
CFG-100-Sp8	Gal(α1-3)GalNAc(α-Sp8
CFG-100-Sp16	Gal(α1-3)GalNAc(α-Sp16
CFG-101-Sp8	Gal(α1-3)GalNAc(β-Sp8
CFG-102-Sp8	Gal(α1-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp8
